0,1,2,3,4,5
498,1650 sq.ft,3,4.341748867267065,Semifurnished,"55,000"
499,2400 sq.ft,1,39.1288803896841,Semifurnished,"19,000"
500,1110 sq.ft,2,14.988744950057061,Semifurnished,"20,000"
501,250 sq.ft,1,6.1703942442871025,Semifurnished,"13,000"
503,1600 sq.ft,3,10.101313475375827,Semifurnished,"15,000"
504,1409 sq.ft,3,12.723746083237126,Semifurnished,"27,000"
505,1050 sq.ft,2,6.954496560517289,Furnished,"14,000"
509,1780 sq.ft,3,6.984672878827152,Semifurnished,"35,000"
510,1804.37 sq.ft,3,111.69615400629692,Semifurnished,"30,000"
511,750 sq.ft,1,4.853777627538586,Semifurnished,"13,000"
514,2100 sq.ft,3,6.4552083022026965,Semifurnished,"65,000"
516,1771 sq.ft,3,3.8010610573999486,Semifurnished,"75,000"
518,2400 sq.ft,2,6.4552083022026965,Furnished,"28,000"
519,1108 sq.ft,2,16.39465523728644,Semifurnished,"24,000"
520,1265 sq.ft,3,11.886683845532827,Semifurnished,"30,000"
521,1285 sq.ft,2,16.39465523728644,Semifurnished,"20,000"
522,500 sq.ft,1,12.585473992965634,Semifurnished,"14,500"
524,1600 sq.ft,3,9.176961100944519,Semifurnished,"32,000"
525,450 sq.ft,1,7.662880646679782,Semifurnished,"10,000"
526,800 sq.ft,1,9.15394549513154,Furnished,"22,000"
527,2500 sq.ft,3,4.341748867267065,Semifurnished,"65,000"
530,650 sq.ft,1,9.15394549513154,Semifurnished,"20,000"
531,1665 sq.ft,3,6.732889599818437,Semifurnished,"27,000"
532,1200 sq.ft,2,15.65448236698326,Semifurnished,"26,500"
533,1245 sq.ft,2,14.355274387824206,Furnished,"25,000"
534,1215 sq.ft,2,17.974153350174657,Semifurnished,"28,000"
537,1200 sq.ft,2,9.954617038439713,Semifurnished,"19,000"
538,1300 sq.ft,2,6.242075606885513,Semifurnished,"30,000"
539,2400 sq.ft,2,7.168784226086144,Semifurnished,"39,000"
540,1500 sq.ft,3,43.31306301440419,Semifurnished,"27,000"
541,2079 sq.ft,4,20.20928324419548,Semifurnished,"27,000"
543,1000 sq.ft,2,21.07260544947849,Furnished,"29,000"
544,780 sq.ft,1,6.984672878827152,Semifurnished,"11,000"
545,780 sq.ft,1,6.984672878827152,Semifurnished,"12,000"
546,1128 sq.ft,2,16.39465523728644,Furnished,"30,000"
547,1500 sq.ft,1,9.176961100944519,Semifurnished,"19,500"
548,2052.69 sq.ft,3,108.91788579409256,Semifurnished,"65,000"
549,1350 sq.ft,3,14.355274387824206,Semifurnished,"20,000"
550,550 sq.ft,1,9.591068957013832,Semifurnished,"16,000"
552,3606 sq.ft,4,16.10802241985625,Furnished,"65,000"
554,965 sq.ft,2,126.97042657823627,Semifurnished,"21,000"
555,1279 sq.ft,2,11.886683845532827,Semifurnished,"20,500"
556,1300 sq.ft,2,37.06900130540548,Semifurnished,"10,000"
557,1500 sq.ft,1,39.135254878338706,Semifurnished,"15,000"
559,1199 sq.ft,2,9.05692984295668,Semifurnished,"23,000"
561,1000 sq.ft,1,7.662880646679782,Semifurnished,"13,500"
563,1844 sq.ft,3,43.90910158365177,Semifurnished,"28,500"
565,1575 sq.ft,3,7.880647856842921,Semifurnished,"35,000"
567,2000 sq.ft,3,16.39465523728644,Furnished,"40,000"
568,1134 sq.ft,2,2.379314643159816,Furnished,"60,000"
575,1300 sq.ft,3,6.255813683007738,Semifurnished,"26,000"
576,1300 sq.ft,2,5.016490609396658,Semifurnished,"22,000"
577,1200 sq.ft,2,11.897940385218025,Semifurnished,"24,000"
594,1134 sq.ft,2,7.408670787461762,Semifurnished,"34,000"
598,1100 sq.ft,2,9.176961100944519,Semifurnished,"28,000"
600,1636 sq.ft,3,24.67395775959769,Semifurnished,"26,000"
601,1278 sq.ft,2,7.880647856842921,Semifurnished,"27,000"
604,2476 sq.ft,4,7.408670787461762,Semifurnished,"56,000"
606,600 sq.ft,1,7.108082674052107,Semifurnished,"12,500"
607,1200 sq.ft,1,7.662880646679782,Semifurnished,"15,500"
608,550 sq.ft,2,7.662880646679782,Semifurnished,"15,600"
609,797 sq.ft,2,19.09064471626785,Semifurnished,"15,000"
610,1300 sq.ft,3,6.732889599818437,Semifurnished,"20,000"
611,982 sq.ft,1,7.687123215287745,Semifurnished,"22,000"
614,1450 sq.ft,3,2.6467043748092784,Furnished,"50,000"
617,1664 sq.ft,3,14.557471278724925,Semifurnished,"30,000"
618,750 sq.ft,1,12.585473992965634,Furnished,"20,000"
619,3000 sq.ft,4,10.961067435897174,Semifurnished,"85,000"
620,1000 sq.ft,1,132.45789387989714,Semifurnished,"16,000"
621,2350 sq.ft,4,6.437221814515505,Furnished,1.35 Lac
