"450 sq.ft","1","BTM 1st Stage","Semifurnished","11,000"
"2830 sq.ft","4","Whitefield","Semifurnished","45,000"
"540 sq.ft","1","Sector 7 HSR Layout","Semifurnished","17,500"
"1919 sq.ft","3","Hosur Road","Semifurnished","43,000"
"5000 sq.ft","4","Dairy Circle","Semifurnished","1.5 Lac"
"1515 sq.ft","3","6th Phase JP Nagar","Semifurnished","42,000"
"1610 sq.ft","3","Jakkur","Semifurnished","32,000"
"569 sq.ft","1","BTM 2nd Stage","Semifurnished","12,000"
"1300 sq.ft","2","Palace Road","Semifurnished","38,000"
"450 sq.ft","0","2nd Block Hrbr Layout","Semifurnished","10,000"
"1996 sq.ft","3","Thanisandra","Semifurnished","35,000"
"1000 sq.ft","1","7th Phase JP Nagar","Semifurnished","9500"
"1640 sq.ft","3","Rajaji Nagar","Furnished","55,000"
"2140 sq.ft","3","Konanakunte","Semifurnished","50,000"
"500 sq.ft","1","Kaggadasapura","Semifurnished","13,000"
"1500 sq.ft","3","Marathahalli","Semifurnished","29,000"
"2000 sq.ft","3","4th Block Koramangala","Semifurnished","40,000"
"2550 sq.ft","3","Ambalipura","Furnished","53,000"
"1162 sq.ft","2","Budigere","Furnished","20,000"
"1880 sq.ft","3","","Semifurnished","32,000"
"1265 sq.ft","2","Thanisandra Main Road","Semifurnished","22,000"
"1610 sq.ft","3","OMBR Layout","Semifurnished","30,000"
"1300 sq.ft","2","5th Phase JP Nagar","Semifurnished","22,000"
"650 sq.ft","1","Brookefield","Semifurnished","19,000"
"1200 sq.ft","2","Kaggadasapura","Semifurnished","15,000"
"590 sq.ft","1","BTM 2nd Stage","Semifurnished","14,000"
"1500 sq.ft","1","Frazer Town","","15,000"
"3606 sq.ft","4","Whitefield","Furnished","65,000"
"10000 sq.ft","3","Cauvery Colony","Semifurnished","45,000"
"2000 sq.ft","3","Cauvery Colony","Semifurnished","42,000"
"1056 sq.ft","2","Chokkanahalli","Semifurnished","20,000"
"1482 sq.ft","3","Hennur Road","Semifurnished","34,000"
"3366 sq.ft","3","Hebbal Kempapura","Furnished","1.35 Lac"
"1700 sq.ft","2","Cooke Town","Furnished","80,000"
"2551 sq.ft","3","Sampigehalli","Semifurnished","75,000"
"4450 sq.ft","4","Hebbal","Semifurnished","1.4 Lac"
"1160 sq.ft","2","Electronic City Phase II","Semifurnished","22,000"
"1134 sq.ft","2","Abshot Layout","Semifurnished","45,000"
"1680 sq.ft","3","7th Phase JP Nagar","Semifurnished","38,000"
"1375 sq.ft","3","Electronics City Phase 1","Semifurnished","27,000"
"2428 sq.ft","3","Hebbal","Semifurnished","55,000"
"732 sq.ft","2","Byagadadhenahalli","Semifurnished","8000"
"1250 sq.ft","2","Kaggadasapura","Furnished","25,000"
"1300 sq.ft","2","Chamrajpet","Furnished","27,000"
"900 sq.ft","1","GM Palaya","Semifurnished","17,500"
"1165 sq.ft","2","CV Raman Nagar","Semifurnished","23,000"
"3600 sq.ft","1","Electronic City Phase II","Semifurnished","8000"
"2422 sq.ft","4","Ardendale","Semifurnished","26,000"
"1150 sq.ft","2","Basavangudi","Semifurnished","30,000"
"1250 sq.ft","1","Whitefield","","62,200"
"2040 sq.ft","3","Kasavanhalli","Furnished","42,000"
"400 sq.ft","1","BTM 2nd Stage","Semifurnished","15,100"
"550 sq.ft","1","Munnekollal","Semifurnished","16,000"
"2154 sq.ft","3","Kadugodi","Semifurnished","38,000"
"1500 sq.ft","3","6th block Koramangala","Semifurnished","40,000"
"1603 sq.ft","3","Konanakunte","Semifurnished","41,000"
"1250 sq.ft","2","Kadubeesanahalli","Semifurnished","33,000"
"1500 sq.ft","3","Electronics City Phase 1","Semifurnished","23,000"
"500 sq.ft","1","ITI Layout","Semifurnished","14,000"
"2187 sq.ft","3","Hennur Road","Semifurnished","40,000"
"1365 sq.ft","3","Mahadevpura","Semifurnished","35,900"
"500 sq.ft","1","Kaggadasapura","Semifurnished","15,000"
"750 sq.ft","1","Kaggadasapura","Semifurnished","14,000"
"550 sq.ft","1","Vignana Nagar","Semifurnished","15,000"
"1532 sq.ft","3","Thanisandra","Semifurnished","25,000"
"2700 sq.ft","3","Marathahalli","Semifurnished","55,000"
"1445 sq.ft","2","Kalena Agrahara","Semifurnished","32,000"
