,area,bedrooms,distance,furnished,price
374,1200.0,1,19.74,Semifurnished,13500
375,225.0,0,10.42,Semifurnished,8000
376,684.0,1,19.09,Semifurnished,11000
377,541.0,1,19.09,Semifurnished,11000
378,700.0,1,9.15,Semifurnished,18000
379,1422.0,2,3.53,Semifurnished,40500
380,1350.0,1,6.98,Semifurnished,12500
381,1350.0,3,10.7,Semifurnished,14000
382,1400.0,2,6.98,Semifurnished,25000
383,15053.76,3,16.39,Semifurnished,25000
384,1300.0,3,39.12,Semifurnished,40000
385,1434.0,3,11.88,Semifurnished,22000
386,450.0,0,6.73,Semifurnished,6500
387,1798.0,3,10.1,Semifurnished,38000
388,791.0,2,19.09,Semifurnished,18500
389,2700.0,3,9.86,Semifurnished,35000
390,1200.0,2,10.42,Furnished,24000
391,6000.0,3,2.64,Semifurnished,300000
392,1524.0,3,10.1,Semifurnished,30000
393,800.0,1,39.12,Semifurnished,18000
394,1200.0,1,9.15,Semifurnished,19500
395,1917.0,3,10.67,Semifurnished,30000
396,1100.0,3,2.37,Semifurnished,50000
397,1801.0,3,10.67,Semifurnished,30000
398,950.0,2,10.42,Semifurnished,17000
399,610.0,1,14.55,Semifurnished,15000
400,2100.0,4,7.68,Semifurnished,50000
401,1400.0,2,9.05,Semifurnished,25000
402,601.0,1,19.09,Semifurnished,12000
403,3345.0,4,6.17,Semifurnished,200000
404,541.0,1,19.09,Semifurnished,11000
405,1100.0,2,10.42,Semifurnished,20000
406,1200.0,3,35.82,Semifurnished,9000
407,600.0,1,40.7,Semifurnished,8500
408,1200.0,3,138.39,Semifurnished,16000
409,2134.0,3,17.97,Semifurnished,40000
410,600.0,2,9.17,Semifurnished,20000
411,1632.0,4,120.79,Semifurnished,20000
412,1500.0,3,6.24,Semifurnished,28000
413,1680.0,3,6.98,Semifurnished,37000
414,600.0,1,10.42,Semifurnished,11000
415,700.0,1,11.06,Semifurnished,10000
416,1315.0,3,11.22,Semifurnished,18000
417,2400.0,3,8.86,Semifurnished,25000
418,1250.0,2,16.39,Semifurnished,23000
419,600.0,1,17.56,Semifurnished,9500
420,1531.0,3,10.67,Semifurnished,25000
421,400.0,1,7.66,Semifurnished,12600
422,400.0,1,7.66,Semifurnished,12000
423,1250.0,2,19.09,Semifurnished,18500
424,1744.0,3,39.12,Furnished,65000
425,600.0,2,9.75,Semifurnished,9500
426,550.0,1,8.06,Semifurnished,7000
427,1100.0,2,12.71,Semifurnished,11500
428,1200.0,0,13.71,Semifurnished,8000
429,1950.2,3,108.91,Semifurnished,77000
430,1250.0,3,21.73,Furnished,17000
431,1435.0,3,11.88,Semifurnished,24500
432,1297.0,2,11.88,Semifurnished,22500
433,1400.0,2,11.88,Semifurnished,21000
434,1410.0,3,11.88,Semifurnished,21000
435,1420.0,3,11.88,Semifurnished,25000
436,1959.0,3,10.67,Semifurnished,32000
437,950.0,2,6.24,Semifurnished,19000
438,1800.0,3,10.1,Semifurnished,37000
439,3900.0,4,7.4,Semifurnished,150000
440,1150.0,2,6.23,Semifurnished,15000
441,700.0,1,12.19,Semifurnished,16980
442,671.0,1,7.66,Semifurnished,13500
443,1800.0,3,3.53,Semifurnished,45000
444,1745.0,3,10.51,Furnished,20000
445,1556.0,3,14.55,Semifurnished,32000
446,550.0,1,39.12,Semifurnished,17100
447,522.0,1,6.77,Semifurnished,13500
448,6786.0,2,13.8,Semifurnished,22000
449,1200.0,2,6.85,Semifurnished,23000
450,1850.0,3,39.12,Semifurnished,60000
451,950.0,2,127.39,Semifurnished,16000
452,1600.0,3,10.27,Semifurnished,24000
453,1790.0,3,10.67,Semifurnished,24000
454,1755.0,3,6.95,Semifurnished,30000
455,687.0,1,6.24,Semifurnished,19000
456,700.0,2,19.12,Semifurnished,14500
457,800.0,2,19.12,Semifurnished,14000
458,1450.0,2,11.73,Semifurnished,21000
459,600.0,1,9.15,Furnished,25000
460,1090.0,2,19.09,Semifurnished,14500
461,1353.0,3,15.84,Semifurnished,20000
462,542.0,1,19.09,Semifurnished,11500
463,575.0,1,7.66,Semifurnished,14000
464,550.0,1,7.66,Semifurnished,14000
465,2400.0,2,39.12,Semifurnished,28000
466,2501.0,4,5.89,Semifurnished,45000
467,1350.0,2,50.29,Semifurnished,31000
468,983.0,1,7.68,Semifurnished,21000
469,851.0,1,7.68,Semifurnished,20000
470,1569.0,3,10.67,Semifurnished,30000
471,1150.0,2,2.02,Furnished,45000
472,1500.0,2,3.53,Semifurnished,23000
473,1805.0,3,10.1,Furnished,50000
474,700.0,1,10.96,Semifurnished,20000
475,686.0,1,10.96,Semifurnished,19500
476,250.0,0,9.86,Semifurnished,8000
477,1745.0,3,10.51,Semifurnished,20000
478,1680.0,3,10.51,Furnished,26000
479,3500.0,4,10.67,Semifurnished,60000
480,1150.0,2,10.42,Furnished,18900
481,605.0,1,14.98,Semifurnished,15500
482,1734.0,3,14.55,Semifurnished,41000
483,991.0,2,19.09,Semifurnished,100000
484,1200.0,2,7.85,Semifurnished,30000
485,650.0,1,14.55,Furnished,18000
486,1480.0,2,10.51,Semifurnished,21500
487,500.0,1,9.17,Semifurnished,19000
488,1250.0,2,9.14,Semifurnished,36500
489,1250.0,2,9.14,Semifurnished,35000
490,1300.0,2,9.14,Semifurnished,36500
491,1300.0,2,9.14,Semifurnished,36600
492,2400.0,2,14.89,Semifurnished,23000
493,1202.64,2,6.73,Semifurnished,33000
494,1500.0,3,8.13,Semifurnished,28000
495,285.0,0,6.17,Furnished,25000
496,300.0,0,6.08,Furnished,25000
497,1919.0,3,14.42,Semifurnished,40000
498,1569.0,3,10.67,Semifurnished,28000
499,581.0,1,11.27,Semifurnished,16000
500,700.0,1,10.96,Semifurnished,19800
501,1134.0,2,2.37,Furnished,55000
502,400.0,1,10.96,Semifurnished,12000
503,1700.0,3,6.17,Semifurnished,50000
504,300.0,0,6.45,Furnished,15000
505,696.0,1,10.96,Semifurnished,18000
506,1948.0,3,10.67,Semifurnished,29000
507,2502.0,4,119.75,Semifurnished,60000
508,700.0,1,126.97,Furnished,14000
509,810.0,1,6.98,Semifurnished,11500
510,1262.0,2,14.98,Semifurnished,24000
511,1200.0,2,4.34,Semifurnished,33000
512,650.0,1,7.1,Semifurnished,16500
513,900.0,1,10.42,Furnished,31000
514,650.0,1,7.1,Semifurnished,16100
515,2000.0,3,15.65,Semifurnished,55000
516,691.0,1,10.96,Semifurnished,18000
517,1300.0,3,11.89,Semifurnished,24000
518,1200.0,1,7.16,Furnished,30000
519,1700.0,3,39.12,Furnished,50000
520,800.0,1,7.66,Semifurnished,14500
521,1460.0,3,13.88,Semifurnished,27892
522,700.0,1,15.65,Semifurnished,18000
523,650.0,1,6.77,Semifurnished,11000
524,1790.0,3,6.98,Semifurnished,37000
525,750.0,1,7.68,Semifurnished,21000
526,3236.0,3,4.34,Semifurnished,110000
527,1605.0,3,17.39,Semifurnished,29000
528,1846.0,3,7.88,Semifurnished,39000
529,1250.0,2,7.68,Semifurnished,25000
530,1000.0,1,7.66,Semifurnished,13500
531,1265.0,3,11.88,Semifurnished,27600
532,1159.0,2,11.88,Semifurnished,17500
533,1225.0,3,8.88,Semifurnished,18000
534,4500.0,4,10.27,Furnished,150000
535,1597.0,3,13.79,Semifurnished,30000
536,1510.0,3,14.42,Semifurnished,37000
537,2422.0,4,20.2,Semifurnished,32000
538,691.0,1,7.66,Semifurnished,11500
539,2200.0,3,3.53,Furnished,73000
540,1250.0,3,21.73,Semifurnished,16000
541,3000.0,4,5.75,Semifurnished,70000
542,1632.0,3,11.88,Semifurnished,29000
543,600.0,1,9.17,Semifurnished,17000
544,600.0,1,3.86,Semifurnished,15000
545,600.0,1,10.42,Semifurnished,15500
546,1257.0,2,18.06,Semifurnished,22000
547,480.0,1,129.64,Semifurnished,11000
548,1400.0,2,18.06,Semifurnished,25000
549,600.0,1,18.06,Semifurnished,13000
550,2052.69,3,108.91,Semifurnished,70000
551,1100.0,1,39.12,Semifurnished,20000
552,1350.0,2,19.09,Semifurnished,19000
553,650.0,1,9.86,Semifurnished,13000
554,1200.0,2,9.86,Semifurnished,21000
555,1200.0,2,9.86,Semifurnished,19500
556,1400.0,3,127.39,Semifurnished,25000
557,650.0,1,15.65,Furnished,16500
558,1644.0,3,16.39,Semifurnished,33000
559,650.0,1,19.74,Semifurnished,14000
560,1600.0,3,69.95,Semifurnished,35000
561,2476.0,4,7.4,Semifurnished,55000
562,300.0,0,6.45,Furnished,15000
563,800.0,1,9.14,Furnished,16000
564,1721.0,3,20.2,Semifurnished,26000
565,1900.0,3,119.75,Semifurnished,28000
566,1201.0,3,14.35,Semifurnished,10000
567,1111.0,2,9.05,Semifurnished,23000
568,400.0,0,12.58,Semifurnished,7500
569,300.0,2,7.14,Furnished,6500
570,400.0,1,4.66,Semifurnished,15000
571,65340.0,9,14.35,Semifurnished,1000000
572,1325.0,3,13.88,Semifurnished,27400
573,2400.0,1,5.82,Semifurnished,100000
574,780.0,1,6.98,Semifurnished,10000
575,2658.0,4,10.39,Semifurnished,50000
576,1150.0,2,6.17,Semifurnished,28000
577,2000.0,3,4.66,Furnished,65000
578,1155.0,2,14.35,Semifurnished,17000
579,1420.0,3,11.88,Semifurnished,26000
580,550.0,2,16.39,Semifurnished,15000
581,1200.0,1,7.66,Semifurnished,12000
582,3100.0,3,6.17,Furnished,85000
583,1733.0,3,10.67,Semifurnished,23000
584,2350.0,3,7.88,Semifurnished,45000
585,750.0,1,9.15,Semifurnished,18000
586,600.0,1,11.89,Semifurnished,14500
587,1200.0,2,39.12,Furnished,38000
588,1200.0,2,40.7,Furnished,16000
589,350.0,1,1.67,Furnished,8000
590,1350.0,2,12.19,Semifurnished,24000
591,1700.0,3,10.1,Semifurnished,32000
592,350.0,0,71.21,Semifurnished,4700
593,680.0,1,7.66,Semifurnished,15000
594,700.0,1,7.66,Semifurnished,16000
595,1200.0,2,5.73,Semifurnished,18000
596,1285.0,3,10.27,Furnished,45000
597,1349.0,2,7.4,Semifurnished,34000
598,1164.0,2,128.55,Semifurnished,19500
599,1000.0,2,7.14,Semifurnished,18000
600,1597.0,3,14.11,Semifurnished,40000
601,1000.0,1,7.66,Semifurnished,11500
602,1021.0,2,126.97,Semifurnished,21000
603,950.0,2,43.31,Semifurnished,14500
604,1564.0,3,10.67,Semifurnished,30000
605,1917.0,3,10.67,Semifurnished,26000
606,1050.0,2,9.17,Semifurnished,30000
607,2475.0,3,3.53,Semifurnished,72000
608,1250.0,2,6.85,Semifurnished,25000
609,1519.0,3,11.88,Semifurnished,21100
610,625.0,1,9.86,Semifurnished,12000
611,1600.0,3,146.17,Semifurnished,20000
612,1200.0,1,9.17,Semifurnished,18000
613,8500.0,5,10.47,Semifurnished,350000
614,800.0,1,9.05,Semifurnished,13000
615,1500.0,3,2.64,Furnished,50000
616,1407.0,2,8.88,Semifurnished,27000
617,800.0,1,7.66,Semifurnished,13500
618,1840.0,3,6.14,Semifurnished,29000
619,1620.0,3,11.88,Semifurnished,25500
620,700.0,1,84.13,Furnished,25000
